,name,category,rating,ncount,address
190,봉피양수려,"육류,고기",5.0,2,서울 강남구 도산대로81길 25 조은빌딩 1층
191,배스킨라빈스 세로수길점,아이스크림,5.0,33,서울 강남구 도산대로11길 15 1층
192,변두리비스트로,"호프,요리주점",4.0,116,서울 강남구 도산대로1길 36
193,W가나,"육류,고기",3.4,27,서울 강남구 도산대로49길 20 2층
194,써스티몽크 청담점,"호프,요리주점",4.2,12,서울 강남구 도산대로56길 3
195,신사쭈꾸미,"해물,생선",3.3,41,서울 강남구 도산대로37길 12
196,복이오복국 청담점,복어,4.4,8,"서울 강남구 도산대로102길 10 프리마호텔 별관 지하 1,2층"
197,경성팔일삼 본점,"육류,고기",4.4,113,서울 강남구 도산대로11길 5 1층
198,SOOT 신사,양식,4.2,23,서울 강남구 도산대로23길 7 1층
199,도쿄사이카보,일식집,3.6,14,"서울 강남구 도산대로101길 9 영명빌딩 1,2층"
200,한와담 블랙청담점,"육류,고기",4.4,8,서울 강남구 도산대로89길 9
201,르캬바레도산,와인바,3.2,51,서울 강남구 도산대로 216 청담에이든 호텔 18층
202,일도씨곱창 신사점,"곱창,막창",3.6,41,서울 강남구 도산대로17길 8 1층
203,청담로바,일식,1.0,117,서울 강남구 도산대로 420 청담스퀘어 B동 2층
204,라그랑자트,디저트카페,4.8,32,서울 강남구 도산대로62길 12
205,탐앤탐스블랙 청담점,커피전문점,2.7,10,서울 강남구 도산대로 443 1~2층
206,야키토리쿠이신보,일식,4.0,44,서울 강남구 도산대로55길 40 1층
207,예담,한식,3.2,0,서울 강남구 도산대로16길 18
208,송탄부대찌개 본점,"찌개,전골",2.3,39,서울 강남구 도산대로 166
209,스시장종현,일식집,4.3,38,서울 강남구 도산대로85길 13
210,맨션나인 위드인라운지 신사점,카페,4.2,49,서울 강남구 도산대로19길 50 지하1층
211,폴바셋 청담점,커피전문점,3.5,11,서울 강남구 도산대로75길 22 1층
212,쏠레이,양식,4.1,44,서울 강남구 도산대로70길 9 2층
213,무니,일식,3.8,24,서울 강남구 도산대로72길 16
214,스타벅스 학동사거리,커피전문점,3.0,9,서울 강남구 도산대로 328
215,호호식당 도산공원,일식집,4.4,70,"서울 강남구 도산대로49길 29-6 1,2층"
216,라우라우,동남아음식,3.1,38,서울 강남구 도산대로58길 17
217,회춘,카페,3.8,61,서울 강남구 도산대로51길 22
218,밀떡팩토리 본점,떡볶이,4.1,62,서울 강남구 도산대로11길 21 1층
219,모국정서,일본식주점,4.3,10,서울 강남구 도산대로25길 5 1층
220,효자동순대,순대,4.3,24,서울 강남구 도산대로 510 1층
221,피플더테라스,와인바,3.5,41,서울 강남구 도산대로81길 13
222,도산사카바카와세미,양식,3.4,51,서울 강남구 도산대로45길 10-8 1층
223,조리인,일식집,2.7,51,서울 강남구 도산대로53길 16 3층
224,노마드,칵테일바,3.8,51,서울 강남구 도산대로101길 28
225,콘피에르,양식,4.1,67,서울 강남구 도산대로49길 10-2 2층
226,오늘잡은안동갈비 신사점,갈비,2.6,37,서울 강남구 도산대로25길 47
227,봉산집,"육류,고기",2.2,8,서울 강남구 도산대로 232
228,하이헤이헬로,디저트카페,3.1,71,서울 강남구 도산대로15길 18
229,중앙소곱창,"곱창,막창",3.5,221,서울 강남구 도산대로85길 8 지하 1층
230,마르르,중식,3.6,41,서울 강남구 도산대로53길 29 1층
231,압구정곱창 2호점,한식,4.3,22,서울 강남구 도산대로51길 33
232,연남토마 가로수길점,퓨전요리,3.8,80,서울 강남구 도산대로15길 32-10 1층
233,이층집왕족발 본점,"족발,보쌈",4.4,90,서울 강남구 도산대로51길 39
234,소꿉,"육류,고기",2.8,11,서울 강남구 도산대로81길 18 세명빌딩 3층
235,페인팅룸,카페,3.5,35,서울 강남구 도산대로66길 19
236,기람,일본식주점,5.0,41,서울 강남구 도산대로90길 16 1층
237,투썸플레이스 강남도산점,커피전문점,3.5,4,서울 강남구 도산대로37길 19 1층
238,아티제 도산로점,"제과,베이커리",3.8,29,서울 강남구 도산대로45길 6 호림아트센터 1층
239,루씨앤정,카페,3.8,16,서울 강남구 도산대로37길 43 1층
240,레스토랑오세득,양식,4.5,18,서울 강남구 도산대로55길 36 나나빌딩 2층
241,애술린라운지,북카페,3.5,9,서울 강남구 도산대로45길 11 지하 1층
242,쿠시라쿠,일본식주점,4.4,53,서울 강남구 도산대로16길 16 1층
243,스시마이우 가로수길점,"초밥,롤",2.5,91,서울 강남구 도산대로11길 15
244,이에나파이 본점,"제과,베이커리",4.0,10,서울 강남구 도산대로50길 9 102호
245,더카페마룬에프,카페,4.0,3,서울 강남구 도산대로 429
246,스시타츠,"초밥,롤",3.5,32,서울 강남구 도산대로28길 18
247,도산족발&종로할머니칼국수,"족발,보쌈",3.0,22,서울 강남구 도산대로45길 8-8 2층
248,삼삼이네 신사점,"육류,고기",3.8,35,서울 강남구 도산대로11길 15 1층
249,신사뻘낙지,"해물,생선",4.1,16,서울 강남구 도산대로8길 7
250,청담이상 압구정점,일본식주점,4.7,6,서울 강남구 도산대로49길 18
251,스타벅스 도산가로수길점,커피전문점,4.2,17,서울 강남구 도산대로 134 2층
252,신사면옥,냉면,3.5,8,서울 강남구 도산대로46길 11 논현오피스텔 1층
253,골목길신사,퓨전한식,2.0,27,서울 강남구 도산대로37길 30 1층
254,마마램,"육류,고기",4.8,99,서울 강남구 도산대로62길 11
255,모퉁이흑미김밥,분식,5.0,3,서울 강남구 도산대로27길 25 101호
256,쿠시토쿡,일식집,3.0,46,서울 강남구 도산대로15길 32-8
257,슈페리어루프앤드,카페,4.8,28,서울 강남구 도산대로51길 37
258,브라운돈까스 논현중앙점,"돈까스,우동",3.8,10,서울 강남구 도산대로50길 13 2층
259,우블링 청담,"육류,고기",3.5,120,서울 강남구 도산대로 406 1층
260,고기준 청담점,"육류,고기",5.0,30,서울 강남구 도산대로75길 21
261,라까사호텔 서울 까사밀,이탈리안,3.0,17,서울 강남구 도산대로1길 83
262,윤세영선술,술집,3.5,17,서울 강남구 도산대로34길 38
263,신룽푸마라탕 가로수길점,중식,1.3,17,서울 강남구 도산대로15길 9 2층
264,메손,이탈리안,4.9,39,서울 강남구 도산대로17길 4 1층
265,베베르,퓨전요리,0.0,9,서울 강남구 도산대로55길 16 1층
266,캔플,카페,0.0,18,서울 강남구 도산대로17길 37-1
267,빠삐용빵,"제과,베이커리",3.7,19,서울 강남구 도산대로24길 29 모스스튜디오 1층
268,흑우정,갈비,0.0,43,서울 강남구 도산대로57길 7 2층
269,막걸리는살아있다,"호프,요리주점",3.8,48,서울 강남구 도산대로51길 39 지하1층
270,삼미집 청담본점,"해물,생선",4.3,44,서울 강남구 도산대로89길 24
271,주몽,중화요리,2.8,17,서울 강남구 도산대로53길 20
272,장독대김치찌개 청담점,"찌개,전골",3.2,30,서울 강남구 도산대로 540
273,웍셔너리,중화요리,3.8,40,서울 강남구 도산대로53길 12 1층
274,에머이 가로수길점,베트남음식,4.2,40,서울 강남구 도산대로15길 8 1층
275,겨울바다,"해물,생선",3.9,7,서울 강남구 도산대로24길 4
276,으악새,장어,3.9,4,서울 강남구 도산대로81길 5
277,호우시절,일식,4.7,5,서울 강남구 도산대로27길 16 효정빌딩 1층
278,써브웨이 신사역점,샌드위치,2.2,12,서울 강남구 도산대로 124 대영빌딩
279,스시요아케,"초밥,롤",3.6,24,서울 강남구 도산대로45길 10-11 JYC2빌딩 2층
280,배스킨라빈스 청담사거리점,아이스크림,3.5,6,서울 강남구 도산대로 521
281,모퉁이,분식,4.5,11,서울 강남구 도산대로68길 15 1층
282,그라놀로지,카페,3.1,12,서울 강남구 도산대로99길 11 지하1층
283,오르비에토,이탈리안,4.8,34,서울 강남구 도산대로19길 20 103호
284,어물전,일본식주점,0.0,22,서울 강남구 도산대로49길 16-7 1층
285,토리준,일식집,4.5,28,서울 강남구 도산대로70길 9 지하 1층
286,바오밥나무커피 가로수길점,카페,4.6,64,서울 강남구 도산대로17길 10 3층
287,콩툰 청담점,만화카페,3.6,4,서울 강남구 도산대로49길 3 씨씨빌딩 지하 2층
288,피치,이탈리안,2.7,31,서울 강남구 도산대로37길 21
289,미스사이공,동남아음식,4.1,14,서울 강남구 도산대로30길 29
290,잔비워,"호프,요리주점",3.3,12,서울 강남구 도산대로89길 17
291,베이커리앤커피바이쿤달 압구정로데오 플래그쉽스토어,,3.7,37,서울 강남구 도산대로53길 39 1층
292,청담대패당,중식,5.0,197,서울 강남구 도산대로 420 3층 321호
293,김봉남포장마차 가로수길근처점,실내포장마차,0.0,27,서울 강남구 도산대로17길 12
294,요거트맨 청담점,카페,4.8,5,서울 강남구 도산대로89길 35 1층
295,보다,중화요리,4.0,10,서울 강남구 도산대로 308
296,가로수브루잉컴퍼니,"호프,요리주점",3.7,31,서울 강남구 도산대로11길 31-4
297,푸드2900 논현시티점,분식,3.6,20,서울 강남구 도산대로50길 16
298,도사,한식,3.7,26,서울 강남구 도산대로67길 7 지하1층
299,소호앤노호 도산대로점,카페,1.0,0,서울 강남구 도산대로50길 8
